age,age error,proxy,proxyerror,proxyname,researchername,proxytype,comments
1997.6,1.6,0.00245,0.00045,1.kaiser_239240Pu_EMB201/74,1_kaiser,pu,
1991.33333333,2,0.00208,0.00039,1.kaiser_239240Pu_EMB201/74,1_kaiser,pu,
1986,2,0.00531,0.00083,1.kaiser_239240Pu_EMB201/74,1_kaiser,pu,
1980.83870968,3.29032258,0.00353,0.00058,1.kaiser_239240Pu_EMB201/74,1_kaiser,pu,
1978.25806452,3.93548387,0.00538,0.00083,1.kaiser_239240Pu_EMB201/74,1_kaiser,pu,
1973.61538462,4,0.00575,0.00085,1.kaiser_239240Pu_EMB201/74,1_kaiser,pu,
1971.45454545,4,0.00703,0.00101,1.kaiser_239240Pu_EMB201/74,1_kaiser,pu,
1968.8,4,0.00675,0.00101,1.kaiser_239240Pu_EMB201/74,1_kaiser,pu,
1965.5,4,0.01048,0.0015,1.kaiser_239240Pu_EMB201/74,1_kaiser,pu,
1962.9629629615,3.9999999985,0.02475,0.00318,1.kaiser_239240Pu_EMB201/74,1_kaiser,pu,
1959.50617284,4,0.01276,0.00188,1.kaiser_239240Pu_EMB201/74,1_kaiser,pu,
1956.049382718,4.000000002,0.00544,0.00092,1.kaiser_239240Pu_EMB201/74,1_kaiser,pu,
1953.4567901233,3.9999999998,0.00133,0.00032,1.kaiser_239240Pu_EMB201/74,1_kaiser,pu,
1951.728395062,4,0.00045,0.00017,1.kaiser_239240Pu_EMB201/74,1_kaiser,pu,
1950,4,0.0015,0.00035,1.kaiser_239240Pu_EMB201/74,1_kaiser,pu,
1946.6666666667,4.2352941177,0.00031,0.00014,1.kaiser_239240Pu_EMB201/74,1_kaiser,pu,
1943.3333333345,4.4705882345,0.00018,0.00011,1.kaiser_239240Pu_EMB201/74,1_kaiser,pu,
1940.0000000015,4.7058823515,0.00018,0.0001,1.kaiser_239240Pu_EMB201/74,1_kaiser,pu,
1936.6666666685,4.9411764685,0.0002,0.00011,1.kaiser_239240Pu_EMB201/74,1_kaiser,pu,
1933.333333335,5.176470585,0.00018,0.0001,1.kaiser_239240Pu_EMB201/74,1_kaiser,pu,
2016.666666665,0.666666665,1891.5503513219,503.956530705276,1.kaiser_SCP_EMB201/74,1_kaiser,scp,measurement s.d.= (U-L)/(2*1.645)
2014,1,1371.1471057443,408.426797455738,1.kaiser_SCP_EMB201/74,1_kaiser,scp,
1997.6,1.6,3056.8084484359,607.025791178755,1.kaiser_SCP_EMB201/74,1_kaiser,scp,
1995.8,1.8,1721.988712173,458.78105052498,1.kaiser_SCP_EMB201/74,1_kaiser,scp,
1994,2,4123.1166327181,818.774934156781,1.kaiser_SCP_EMB201/74,1_kaiser,scp,
1991.33333333,2,3751.2172107946,744.922566682616,1.kaiser_SCP_EMB201/74,1_kaiser,scp,
1988.66666667,2,3158.7434917541,711.255296563831,1.kaiser_SCP_EMB201/74,1_kaiser,scp,
1986,2,4774.2141587855,857.562392529644,1.kaiser_SCP_EMB201/74,1_kaiser,scp,
1983.41935484,2.64516129,7737.5371563423,1152.39915094459,1.kaiser_SCP_EMB201/74,1_kaiser,scp,
1980.83870968,3.29032258,7320.8855861918,1057.78969619282,1.kaiser_SCP_EMB201/74,1_kaiser,scp,
1978.25806452,3.93548387,5528.9820135016,736.529850212274,1.kaiser_SCP_EMB201/74,1_kaiser,scp,
1975.92307692,4,4247.0921366009,730.400788016077,1.kaiser_SCP_EMB201/74,1_kaiser,scp,
1973.61538462,4,5420.0162997334,783.134407382179,1.kaiser_SCP_EMB201/74,1_kaiser,scp,
1971.45454545,4,5436.3158741221,763.358602407004,1.kaiser_SCP_EMB201/74,1_kaiser,scp,
1968.8,4,4191.3118231342,644.710162997597,1.kaiser_SCP_EMB201/74,1_kaiser,scp,
1965.5,4,4732.0706180114,727.890013483394,1.kaiser_SCP_EMB201/74,1_kaiser,scp,
1962.9629629615,3.9999999985,4331.2876016567,815.975643892627,1.kaiser_SCP_EMB201/74,1_kaiser,scp,
1959.50617284,4,4348.3813373341,718.482377343378,1.kaiser_SCP_EMB201/74,1_kaiser,scp,
1956.049382718,4.000000002,3402.2609258256,716.609889537077,1.kaiser_SCP_EMB201/74,1_kaiser,scp,
1953.4567901233,3.9999999998,1145.0265210328,393.835709875147,1.kaiser_SCP_EMB201/74,1_kaiser,scp,
1951.728395062,4,657.9251986518,277.154347775424,1.kaiser_SCP_EMB201/74,1_kaiser,scp,
1950,4,365.1785757396,217.553194057623,1.kaiser_SCP_EMB201/74,1_kaiser,scp,
1946.6666666667,4.2352941177,469.2793347706,279.570667522891,1.kaiser_SCP_EMB201/74,1_kaiser,scp,
1943.3333333345,4.4705882345,0,0,1.kaiser_SCP_EMB201/74,1_kaiser,scp,
1940.0000000015,4.7058823515,0,0,1.kaiser_SCP_EMB201/74,1_kaiser,scp,
1936.6666666685,4.9411764685,724.9128677333,305.373245260013,1.kaiser_SCP_EMB201/74,1_kaiser,scp,
